,Unnamed: 0,artist,title,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,popularity,top year,hip_hop,other,pop,rap,rock,group,solo
52,56,Mike Posner,Cooler Than Me - Single Mix,130,82,77,-5,69,63,213,18,5,81,2010,0,0,1,0,0,0,1
53,59,Owl City,Fireflies,180,66,51,-7,12,47,228,3,4,84,2010,0,1,0,0,0,1,0
54,61,Rihanna,Only Girl (In The World),126,71,79,-4,6,64,235,11,4,82,2010,0,0,1,0,0,0,1
55,62,Rihanna,Rude Boy,174,75,56,-4,8,81,223,11,13,80,2010,0,0,1,0,0,0,1
56,63,Rihanna,What's My Name?,100,78,69,-3,8,56,263,18,7,75,2010,0,0,1,0,0,0,1
57,64,Rihanna,Man Down,156,91,48,-4,5,54,267,4,19,65,2010,0,0,1,0,0,0,1
58,65,Rihanna,Hard,182,75,31,-4,65,16,251,1,11,60,2010,0,0,1,0,0,0,1
59,66,Robyn,Dancing On My Own - Radio Edit,117,93,57,-6,13,22,278,0,3,65,2010,0,0,1,0,0,0,1
60,67,Sara Bareilles,King of Anything,119,76,68,-4,6,81,207,46,4,66,2010,0,0,1,0,0,0,1
61,68,Scouting For Girls,This Ain't a Love Song,177,91,46,-4,38,55,211,0,5,58,2010,0,0,1,0,0,1,0
62,69,Sean Kingston,Eenie Meenie,121,64,73,-3,10,84,202,3,3,72,2010,0,0,1,0,0,0,1
63,71,Stromae,Alors on danse - Radio Edit,120,59,79,-9,7,71,206,10,8,83,2010,0,0,1,0,0,0,1
64,72,Sugarland,Stuck Like Glue,84,80,70,-5,5,84,248,33,6,73,2010,0,1,0,0,0,1,0
65,73,Swedish House Mafia,One - Radio Edit,125,78,80,-7,15,62,170,1,4,62,2010,0,0,1,0,0,1,0
66,75,Taio Cruz,Dynamite,120,78,75,-4,4,82,203,0,9,85,2010,0,0,1,0,0,0,1
67,76,Taio Cruz,Break Your Heart,122,93,61,-4,9,57,202,3,3,79,2010,0,0,1,0,0,0,1
68,77,Take That,The Flood,101,83,51,-6,12,14,289,4,4,63,2010,0,1,0,0,0,1,0
69,79,Taylor Swift,Mine,121,76,62,-3,19,66,231,0,3,70,2010,0,0,1,0,0,0,1
70,80,Taylor Swift,Today Was A Fairytale,158,70,49,-4,17,34,242,3,3,56,2010,0,0,1,0,0,0,1
71,81,The Band Perry,If I Die Young,131,50,61,-7,28,36,223,35,3,74,2010,0,1,0,0,0,1,0
72,83,The Wanted,All Time Low,134,62,69,-5,8,79,205,35,5,63,2010,0,1,0,0,0,1,0
73,84,Tim Berg,Seek Bromance (Avicii Vocal Edit),126,81,49,-3,9,55,201,9,4,55,2010,0,1,0,0,0,0,1
74,85,Timbaland,Carry Out (Featuring Justin Timberlake),116,57,53,-7,26,27,232,11,11,74,2010,0,0,1,0,0,0,1
75,86,Timbaland,If We Ever Meet Again (Featuring Katy Perry),126,61,65,-7,6,39,293,0,4,74,2010,0,0,1,0,0,0,1
76,89,Train,"Hey, Soul Sister",97,89,67,-4,8,80,217,19,4,87,2010,0,0,1,0,0,1,0
77,90,Travie McCoy,Billionaire (feat. Bruno Mars),87,67,63,-6,21,66,211,30,26,77,2010,0,0,1,0,0,0,1
78,91,Trey Songz,Bottoms Up (feat. Nicki Minaj),74,60,84,-5,39,33,242,2,16,78,2010,0,0,1,0,0,0,1
79,92,Trey Songz,Say Aah (feat. Fabolous),93,87,72,-4,83,81,208,0,11,68,2010,0,0,1,0,0,0,1
80,94,Usher,DJ Got Us Fallin' In Love (feat. Pitbull),120,86,66,-3,8,65,221,3,11,84,2010,1,0,0,0,0,0,1
81,95,Usher,OMG (feat. will.i.am),130,75,78,-6,36,33,269,20,3,78,2010,1,0,0,0,0,0,1
82,96,Usher,Hey Daddy (Daddy's Home),96,70,59,-4,11,35,224,0,3,65,2010,1,0,0,0,0,0,1
83,97,Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),131,60,76,-6,24,36,264,1,4,63,2010,1,0,0,0,0,0,1
84,98,Yolanda Be Cool,We No Speak Americano (Edit),125,81,90,-5,9,75,157,7,5,65,2010,0,1,0,0,0,1,0
85,100,Adele,Rolling in the Deep,105,77,73,-5,5,51,228,14,3,84,2011,0,1,0,0,0,0,1
86,101,Adele,Set Fire to the Rain,108,67,60,-4,11,45,243,0,2,81,2011,0,1,0,0,0,0,1
87,102,Alexandra Stan,Mr. Saxobeat,127,93,72,-4,14,78,195,3,5,69,2011,0,0,1,0,0,0,1
88,104,Bad Meets Evil,Lighters,90,70,68,-8,12,14,304,35,25,74,2011,1,0,0,0,0,1,0
89,105,Beyoncé,Love On Top,94,75,65,-5,60,65,267,8,9,79,2011,0,0,1,0,0,0,1
90,106,Beyoncé,Best Thing I Never Had,99,65,55,-4,9,30,254,14,3,74,2011,0,0,1,0,0,0,1
91,108,Black Eyed Peas,Just Can’t Get Enough,94,63,66,-9,11,26,219,19,18,81,2011,0,0,1,0,0,1,0
92,111,Britney Spears,I Wanna Go,130,55,70,-7,33,79,210,0,4,71,2011,0,0,1,0,0,0,1
93,112,Britney Spears,Till the World Ends,132,71,69,-6,20,45,238,2,7,71,2011,0,0,1,0,0,0,1
94,113,Bruno Mars,Grenade,110,56,70,-7,11,25,222,15,5,82,2011,0,0,1,0,0,0,1
95,116,Calvin Harris,Bounce (feat. Kelis) - Radio Edit,128,96,78,-2,66,76,222,3,4,67,2011,0,0,1,0,0,0,1
96,117,Chase & Status,Blind Faith,140,85,45,-5,23,40,234,1,5,66,2011,0,1,0,0,0,1,0
97,118,Chip,Champion (feat. Chris Brown),190,93,42,-3,14,52,237,8,24,54,2011,0,1,0,0,0,0,1
98,120,Chris Brown,Yeah 3x,130,88,71,-3,9,70,242,0,4,74,2011,0,0,1,0,0,0,1
